-> col = 0
decoded word = 5.0, channel = 0
decoded word = 255.0, channel = 3
decoded word = 245.0, channel = 4
decoded word = 67.0, channel = 6
decoded word = 95.0, channel = 7
decoded word = 84.0, channel = 10
decoded word = 104.0, channel = 11
decoded word = 61.0, channel = 12
decoded word = 164.0, channel = 13
decoded word = 154.0, channel = 14
decoded word = 241.0, channel = 16
decoded word = 12.0, channel = 18
decoded word = 118.0, channel = 19
decoded word = 208.0, channel = 20
decoded word = 31.0, channel = 25
decoded word = 88.0, channel = 27
decoded word = 94.0, channel = 28
-----
-> col = 1
decoded word = 14.0, channel = 1
decoded word = 255.0, channel = 3
decoded word = 92.0, channel = 4
decoded word = 48.0, channel = 6
decoded word = 36.0, channel = 7
decoded word = 171.0, channel = 8
decoded word = 84.0, channel = 10
decoded word = 136.0, channel = 11
decoded word = 32.0, channel = 12
decoded word = 242.0, channel = 14
decoded word = 189.0, channel = 15
decoded word = 239.0, channel = 16
decoded word = 96.0, channel = 17
decoded word = 138.0, channel = 18
decoded word = 148.0, channel = 19
decoded word = 95.0, channel = 20
decoded word = 84.0, channel = 21
decoded word = 69.0, channel = 23
decoded word = 105.0, channel = 25
decoded word = 77.0, channel = 31
-----
-> col = 2
decoded word = 62.0, channel = 1
decoded word = 223.0, channel = 3
decoded word = 182.0, channel = 4
decoded word = 43.0, channel = 6
decoded word = 42.0, channel = 7
decoded word = 59.0, channel = 9
decoded word = 31.0, channel = 10
decoded word = 177.0, channel = 11
decoded word = 33.0, channel = 12
decoded word = 51.0, channel = 13
decoded word = 225.0, channel = 14
decoded word = 146.0, channel = 15
decoded word = 250.0, channel = 16
decoded word = 148.0, channel = 17
decoded word = 255.0, channel = 18
decoded word = 48.0, channel = 19
decoded word = 95.0, channel = 20
decoded word = 130.0, channel = 21
decoded word = 49.0, channel = 23
decoded word = 85.0, channel = 25
decoded word = 59.0, channel = 27
decoded word = 64.0, channel = 28
-----
-> col = 3
decoded word = 46.0, channel = 0
decoded word = 223.0, channel = 3
decoded word = 255.0, channel = 4
decoded word = 9.0, channel = 6
decoded word = 30.0, channel = 9
decoded word = 19.0, channel = 10
decoded word = 145.0, channel = 11
decoded word = 98.0, channel = 12
decoded word = 15.0, channel = 13
decoded word = 52.0, channel = 15
decoded word = 202.0, channel = 16
decoded word = 131.0, channel = 18
decoded word = 176.0, channel = 19
decoded word = 12.0, channel = 20
decoded word = 11.0, channel = 21
decoded word = 56.0, channel = 23
decoded word = 124.0, channel = 27
-----
-> col = 4
decoded word = 7.0, channel = 1
decoded word = 255.0, channel = 3
decoded word = 199.0, channel = 4
decoded word = 74.0, channel = 6
decoded word = 98.0, channel = 7
decoded word = 67.0, channel = 8
decoded word = 53.0, channel = 11
decoded word = 69.0, channel = 12
decoded word = 148.0, channel = 14
decoded word = 72.0, channel = 15
decoded word = 213.0, channel = 16
decoded word = 1.0, channel = 17
decoded word = 153.0, channel = 18
decoded word = 135.0, channel = 19
decoded word = 98.0, channel = 20
decoded word = 53.0, channel = 21
decoded word = 52.0, channel = 23
decoded word = 128.0, channel = 27
-----
-> col = 5
decoded word = 213.0, channel = 3
decoded word = 224.0, channel = 4
decoded word = 163.0, channel = 6
decoded word = 72.0, channel = 7
decoded word = 16.0, channel = 8
decoded word = 61.0, channel = 11
decoded word = 64.0, channel = 12
decoded word = 59.0, channel = 13
decoded word = 186.0, channel = 14
decoded word = 168.0, channel = 15
decoded word = 183.0, channel = 16
decoded word = 81.0, channel = 17
decoded word = 174.0, channel = 18
decoded word = 53.0, channel = 19
decoded word = 42.0, channel = 20
decoded word = 153.0, channel = 21
decoded word = 74.0, channel = 23
decoded word = 29.0, channel = 25
decoded word = 114.0, channel = 27
decoded word = 9.0, channel = 28
-----
-> col = 6
decoded word = 66.0, channel = 0
decoded word = 188.0, channel = 3
decoded word = 140.0, channel = 4
decoded word = 70.0, channel = 6
decoded word = 54.0, channel = 7
decoded word = 9.0, channel = 8
decoded word = 149.0, channel = 11
decoded word = 93.0, channel = 12
decoded word = 109.0, channel = 13
decoded word = 192.0, channel = 14
decoded word = 54.0, channel = 15
decoded word = 150.0, channel = 16
decoded word = 48.0, channel = 17
decoded word = 117.0, channel = 18
decoded word = 211.0, channel = 19
decoded word = 53.0, channel = 23
decoded word = 130.0, channel = 27
decoded word = 45.0, channel = 31
-----
-> col = 7
decoded word = 255.0, channel = 3
decoded word = 255.0, channel = 4
decoded word = 121.0, channel = 6
decoded word = 115.0, channel = 7
decoded word = 65.0, channel = 8
decoded word = 26.0, channel = 10
decoded word = 139.0, channel = 11
decoded word = 143.0, channel = 12
decoded word = 66.0, channel = 13
decoded word = 242.0, channel = 14
decoded word = 75.0, channel = 15
decoded word = 125.0, channel = 16
decoded word = 146.0, channel = 17
decoded word = 121.0, channel = 18
decoded word = 136.0, channel = 19
decoded word = 92.0, channel = 20
decoded word = 137.0, channel = 21
decoded word = 68.0, channel = 23
decoded word = 30.0, channel = 25
decoded word = 141.0, channel = 27
decoded word = 82.0, channel = 28
decoded word = 115.0, channel = 31
-----
