-> col = 0
decoded word = 241.0, channel = 3
decoded word = 194.0, channel = 4
decoded word = 30.0, channel = 6
decoded word = 30.0, channel = 7
decoded word = 43.0, channel = 9
decoded word = 121.0, channel = 11
decoded word = 88.0, channel = 12
decoded word = 77.0, channel = 13
decoded word = 173.0, channel = 14
decoded word = 42.0, channel = 15
decoded word = 255.0, channel = 16
decoded word = 42.0, channel = 18
decoded word = 183.0, channel = 19
decoded word = 117.0, channel = 20
decoded word = 7.0, channel = 25
decoded word = 103.0, channel = 27
decoded word = 18.0, channel = 28
decoded word = 95.0, channel = 31
-----
-> col = 1
decoded word = 254.0, channel = 3
decoded word = 224.0, channel = 4
decoded word = 66.0, channel = 6
decoded word = 112.0, channel = 7
decoded word = 149.0, channel = 8
decoded word = 52.0, channel = 9
decoded word = 52.0, channel = 10
decoded word = 75.0, channel = 11
decoded word = 255.0, channel = 12
decoded word = 122.0, channel = 13
decoded word = 167.0, channel = 14
decoded word = 90.0, channel = 15
decoded word = 194.0, channel = 16
decoded word = 26.0, channel = 17
decoded word = 93.0, channel = 18
decoded word = 165.0, channel = 19
decoded word = 38.0, channel = 21
decoded word = 26.0, channel = 25
decoded word = 244.0, channel = 27
decoded word = 28.0, channel = 31
-----
-> col = 2
decoded word = 255.0, channel = 3
decoded word = 233.0, channel = 4
decoded word = 48.0, channel = 6
decoded word = 48.0, channel = 7
decoded word = 86.0, channel = 11
decoded word = 184.0, channel = 14
decoded word = 176.0, channel = 15
decoded word = 190.0, channel = 16
decoded word = 72.0, channel = 17
decoded word = 112.0, channel = 18
decoded word = 160.0, channel = 19
decoded word = 155.0, channel = 20
decoded word = 14.0, channel = 23
decoded word = 90.0, channel = 27
decoded word = 2.0, channel = 28
-----
-> col = 3
decoded word = 255.0, channel = 3
decoded word = 215.0, channel = 4
decoded word = 109.0, channel = 6
decoded word = 49.0, channel = 7
decoded word = 1.0, channel = 9
decoded word = 184.0, channel = 11
decoded word = 65.0, channel = 12
decoded word = 93.0, channel = 13
decoded word = 255.0, channel = 14
decoded word = 23.0, channel = 15
decoded word = 255.0, channel = 16
decoded word = 13.0, channel = 18
decoded word = 165.0, channel = 19
decoded word = 121.0, channel = 20
decoded word = 81.0, channel = 23
decoded word = 238.0, channel = 27
decoded word = 8.0, channel = 28
decoded word = 68.0, channel = 31
-----
-> col = 4
decoded word = 255.0, channel = 3
decoded word = 190.0, channel = 4
decoded word = 116.0, channel = 6
decoded word = 128.0, channel = 7
decoded word = 102.0, channel = 11
decoded word = 40.0, channel = 12
decoded word = 212.0, channel = 14
decoded word = 50.0, channel = 15
decoded word = 185.0, channel = 16
decoded word = 49.0, channel = 17
decoded word = 84.0, channel = 18
decoded word = 70.0, channel = 20
decoded word = 39.0, channel = 23
decoded word = 74.0, channel = 28
-----
-> col = 5
decoded word = 230.0, channel = 3
decoded word = 129.0, channel = 4
decoded word = 151.0, channel = 6
decoded word = 106.0, channel = 7
decoded word = 4.0, channel = 10
decoded word = 220.0, channel = 11
decoded word = 62.0, channel = 12
decoded word = 254.0, channel = 14
decoded word = 74.0, channel = 15
decoded word = 255.0, channel = 16
decoded word = 22.0, channel = 17
decoded word = 104.0, channel = 18
decoded word = 37.0, channel = 20
decoded word = 17.0, channel = 21
decoded word = 78.0, channel = 27
decoded word = 182.0, channel = 31
-----
-> col = 6
decoded word = 105.0, channel = 3
decoded word = 158.0, channel = 4
decoded word = 96.0, channel = 6
decoded word = 132.0, channel = 9
decoded word = 134.0, channel = 11
decoded word = 148.0, channel = 12
decoded word = 51.0, channel = 13
decoded word = 255.0, channel = 14
decoded word = 49.0, channel = 15
decoded word = 178.0, channel = 16
decoded word = 83.0, channel = 17
decoded word = 110.0, channel = 18
decoded word = 114.0, channel = 19
decoded word = 187.0, channel = 20
decoded word = 9.0, channel = 23
decoded word = 144.0, channel = 27
decoded word = 83.0, channel = 28
decoded word = 88.0, channel = 29
decoded word = 56.0, channel = 31
-----
-> col = 7
decoded word = 235.0, channel = 3
decoded word = 187.0, channel = 4
decoded word = 115.0, channel = 6
decoded word = 112.0, channel = 7
decoded word = 99.0, channel = 8
decoded word = 3.0, channel = 10
decoded word = 115.0, channel = 11
decoded word = 122.0, channel = 13
decoded word = 114.0, channel = 14
decoded word = 61.0, channel = 15
decoded word = 238.0, channel = 16
decoded word = 121.0, channel = 17
decoded word = 74.0, channel = 18
decoded word = 201.0, channel = 19
decoded word = 65.0, channel = 20
decoded word = 98.0, channel = 21
decoded word = 96.0, channel = 23
decoded word = 148.0, channel = 27
decoded word = 70.0, channel = 28
decoded word = 6.0, channel = 31
-----
