-> col = 0
decoded word = 94.0, channel = 3
decoded word = 184.0, channel = 4
decoded word = 25.0, channel = 9
decoded word = 255.0, channel = 10
decoded word = 81.0, channel = 11
decoded word = 56.0, channel = 13
decoded word = 105.0, channel = 14
decoded word = 75.0, channel = 15
decoded word = 156.0, channel = 17
decoded word = 255.0, channel = 18
decoded word = 37.0, channel = 20
decoded word = 4.0, channel = 24
decoded word = 233.0, channel = 27
decoded word = 115.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 1
decoded word = 253.0, channel = 0
decoded word = 147.0, channel = 1
decoded word = 25.0, channel = 3
decoded word = 68.0, channel = 4
decoded word = 10.0, channel = 6
decoded word = 77.0, channel = 8
decoded word = 107.0, channel = 10
decoded word = 140.0, channel = 11
decoded word = 1.0, channel = 12
decoded word = 208.0, channel = 13
decoded word = 185.0, channel = 17
decoded word = 53.0, channel = 18
decoded word = 130.0, channel = 21
decoded word = 152.0, channel = 24
decoded word = 255.0, channel = 27
decoded word = 160.0, channel = 29
decoded word = 255.0, channel = 30
decoded word = 5.0, channel = 31
-----
-> col = 2
decoded word = 156.0, channel = 0
decoded word = 151.0, channel = 1
decoded word = 39.0, channel = 3
decoded word = 101.0, channel = 4
decoded word = 92.0, channel = 8
decoded word = 109.0, channel = 10
decoded word = 136.0, channel = 11
decoded word = 174.0, channel = 13
decoded word = 105.0, channel = 17
decoded word = 127.0, channel = 18
decoded word = 53.0, channel = 19
decoded word = 116.0, channel = 21
decoded word = 26.0, channel = 23
decoded word = 61.0, channel = 24
decoded word = 237.0, channel = 27
decoded word = 166.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 3
decoded word = 231.0, channel = 0
decoded word = 175.0, channel = 1
decoded word = 47.0, channel = 3
decoded word = 59.0, channel = 4
decoded word = 1.0, channel = 6
decoded word = 84.0, channel = 8
decoded word = 130.0, channel = 10
decoded word = 138.0, channel = 11
decoded word = 24.0, channel = 12
decoded word = 197.0, channel = 13
decoded word = 124.0, channel = 17
decoded word = 114.0, channel = 18
decoded word = 35.0, channel = 19
decoded word = 106.0, channel = 21
decoded word = 48.0, channel = 23
decoded word = 90.0, channel = 24
decoded word = 243.0, channel = 27
decoded word = 167.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 4
decoded word = 212.0, channel = 0
decoded word = 178.0, channel = 1
decoded word = 52.0, channel = 3
decoded word = 51.0, channel = 4
decoded word = 119.0, channel = 8
decoded word = 114.0, channel = 10
decoded word = 154.0, channel = 11
decoded word = 13.0, channel = 12
decoded word = 203.0, channel = 13
decoded word = 129.0, channel = 17
decoded word = 107.0, channel = 18
decoded word = 54.0, channel = 19
decoded word = 128.0, channel = 21
decoded word = 35.0, channel = 23
decoded word = 67.0, channel = 24
decoded word = 239.0, channel = 27
decoded word = 158.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 5
decoded word = 206.0, channel = 0
decoded word = 153.0, channel = 1
decoded word = 36.0, channel = 3
decoded word = 51.0, channel = 4
decoded word = 107.0, channel = 8
decoded word = 153.0, channel = 10
decoded word = 144.0, channel = 11
decoded word = 32.0, channel = 12
decoded word = 208.0, channel = 13
decoded word = 5.0, channel = 15
decoded word = 106.0, channel = 17
decoded word = 154.0, channel = 18
decoded word = 69.0, channel = 19
decoded word = 129.0, channel = 21
decoded word = 77.0, channel = 23
decoded word = 91.0, channel = 24
decoded word = 238.0, channel = 27
decoded word = 159.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 6
decoded word = 224.0, channel = 0
decoded word = 190.0, channel = 1
decoded word = 41.0, channel = 3
decoded word = 79.0, channel = 4
decoded word = 139.0, channel = 8
decoded word = 108.0, channel = 10
decoded word = 138.0, channel = 11
decoded word = 234.0, channel = 13
decoded word = 156.0, channel = 17
decoded word = 108.0, channel = 18
decoded word = 64.0, channel = 19
decoded word = 141.0, channel = 21
decoded word = 84.0, channel = 23
decoded word = 91.0, channel = 24
decoded word = 239.0, channel = 27
decoded word = 186.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 7
decoded word = 126.0, channel = 0
decoded word = 40.0, channel = 3
decoded word = 63.0, channel = 4
decoded word = 182.0, channel = 10
decoded word = 255.0, channel = 11
decoded word = 106.0, channel = 12
decoded word = 41.0, channel = 13
decoded word = 59.0, channel = 14
decoded word = 148.0, channel = 18
decoded word = 156.0, channel = 19
decoded word = 255.0, channel = 20
decoded word = 254.0, channel = 21
decoded word = 27.0, channel = 22
decoded word = 255.0, channel = 23
decoded word = 6.0, channel = 24
decoded word = 50.0, channel = 26
decoded word = 216.0, channel = 27
decoded word = 97.0, channel = 29
decoded word = 255.0, channel = 30
-----
