-> col = 0
decoded word = 6.0, channel = 1
decoded word = 107.0, channel = 3
decoded word = 183.0, channel = 4
decoded word = 12.0, channel = 9
decoded word = 255.0, channel = 10
decoded word = 84.0, channel = 11
decoded word = 62.0, channel = 13
decoded word = 100.0, channel = 14
decoded word = 61.0, channel = 15
decoded word = 162.0, channel = 17
decoded word = 255.0, channel = 18
decoded word = 20.0, channel = 20
decoded word = 245.0, channel = 27
decoded word = 112.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 1
decoded word = 255.0, channel = 0
decoded word = 161.0, channel = 1
decoded word = 22.0, channel = 3
decoded word = 75.0, channel = 4
decoded word = 20.0, channel = 6
decoded word = 69.0, channel = 8
decoded word = 96.0, channel = 10
decoded word = 149.0, channel = 11
decoded word = 24.0, channel = 12
decoded word = 204.0, channel = 13
decoded word = 188.0, channel = 17
decoded word = 66.0, channel = 18
decoded word = 141.0, channel = 21
decoded word = 161.0, channel = 24
decoded word = 255.0, channel = 27
decoded word = 156.0, channel = 29
decoded word = 255.0, channel = 30
decoded word = 4.0, channel = 31
-----
-> col = 2
decoded word = 180.0, channel = 0
decoded word = 131.0, channel = 1
decoded word = 10.0, channel = 3
decoded word = 101.0, channel = 4
decoded word = 77.0, channel = 8
decoded word = 114.0, channel = 10
decoded word = 152.0, channel = 11
decoded word = 3.0, channel = 12
decoded word = 178.0, channel = 13
decoded word = 118.0, channel = 17
decoded word = 132.0, channel = 18
decoded word = 22.0, channel = 19
decoded word = 110.0, channel = 21
decoded word = 28.0, channel = 23
decoded word = 65.0, channel = 24
decoded word = 239.0, channel = 27
decoded word = 160.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 3
decoded word = 228.0, channel = 0
decoded word = 156.0, channel = 1
decoded word = 1.0, channel = 3
decoded word = 46.0, channel = 4
decoded word = 96.0, channel = 8
decoded word = 163.0, channel = 10
decoded word = 173.0, channel = 11
decoded word = 23.0, channel = 12
decoded word = 187.0, channel = 13
decoded word = 153.0, channel = 17
decoded word = 141.0, channel = 18
decoded word = 14.0, channel = 19
decoded word = 120.0, channel = 21
decoded word = 43.0, channel = 23
decoded word = 118.0, channel = 24
decoded word = 203.0, channel = 27
decoded word = 150.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 4
decoded word = 253.0, channel = 0
decoded word = 152.0, channel = 1
decoded word = 11.0, channel = 3
decoded word = 67.0, channel = 4
decoded word = 106.0, channel = 8
decoded word = 126.0, channel = 10
decoded word = 168.0, channel = 11
decoded word = 8.0, channel = 12
decoded word = 199.0, channel = 13
decoded word = 147.0, channel = 17
decoded word = 138.0, channel = 18
decoded word = 47.0, channel = 19
decoded word = 140.0, channel = 21
decoded word = 34.0, channel = 23
decoded word = 104.0, channel = 24
decoded word = 226.0, channel = 27
decoded word = 153.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 5
decoded word = 221.0, channel = 0
decoded word = 113.0, channel = 1
decoded word = 1.0, channel = 3
decoded word = 69.0, channel = 4
decoded word = 118.0, channel = 8
decoded word = 140.0, channel = 10
decoded word = 164.0, channel = 11
decoded word = 31.0, channel = 12
decoded word = 187.0, channel = 13
decoded word = 141.0, channel = 17
decoded word = 165.0, channel = 18
decoded word = 57.0, channel = 19
decoded word = 148.0, channel = 21
decoded word = 75.0, channel = 23
decoded word = 132.0, channel = 24
decoded word = 183.0, channel = 27
decoded word = 175.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 6
decoded word = 213.0, channel = 0
decoded word = 183.0, channel = 1
decoded word = 3.0, channel = 3
decoded word = 65.0, channel = 4
decoded word = 151.0, channel = 8
decoded word = 139.0, channel = 10
decoded word = 150.0, channel = 11
decoded word = 222.0, channel = 13
decoded word = 149.0, channel = 17
decoded word = 136.0, channel = 18
decoded word = 50.0, channel = 19
decoded word = 188.0, channel = 21
decoded word = 106.0, channel = 23
decoded word = 131.0, channel = 24
decoded word = 217.0, channel = 27
decoded word = 206.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 7
decoded word = 125.0, channel = 0
decoded word = 15.0, channel = 3
decoded word = 43.0, channel = 4
decoded word = 148.0, channel = 10
decoded word = 255.0, channel = 11
decoded word = 104.0, channel = 12
decoded word = 53.0, channel = 13
decoded word = 60.0, channel = 14
decoded word = 119.0, channel = 18
decoded word = 142.0, channel = 19
decoded word = 255.0, channel = 20
decoded word = 255.0, channel = 21
decoded word = 34.0, channel = 22
decoded word = 255.0, channel = 23
decoded word = 15.0, channel = 24
decoded word = 63.0, channel = 26
decoded word = 191.0, channel = 27
decoded word = 102.0, channel = 29
decoded word = 255.0, channel = 30
-----
