-> col = 0
decoded word = 102.0, channel = 3
decoded word = 152.0, channel = 4
decoded word = 13.0, channel = 9
decoded word = 255.0, channel = 10
decoded word = 77.0, channel = 11
decoded word = 53.0, channel = 13
decoded word = 79.0, channel = 14
decoded word = 71.0, channel = 15
decoded word = 167.0, channel = 17
decoded word = 255.0, channel = 18
decoded word = 7.0, channel = 20
decoded word = 255.0, channel = 27
decoded word = 154.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 1
decoded word = 229.0, channel = 0
decoded word = 178.0, channel = 1
decoded word = 34.0, channel = 3
decoded word = 29.0, channel = 4
decoded word = 103.0, channel = 8
decoded word = 69.0, channel = 10
decoded word = 121.0, channel = 11
decoded word = 7.0, channel = 12
decoded word = 236.0, channel = 13
decoded word = 150.0, channel = 17
decoded word = 69.0, channel = 18
decoded word = 19.0, channel = 19
decoded word = 170.0, channel = 21
decoded word = 135.0, channel = 24
decoded word = 255.0, channel = 27
decoded word = 199.0, channel = 29
decoded word = 255.0, channel = 30
decoded word = 23.0, channel = 31
-----
-> col = 2
decoded word = 120.0, channel = 0
decoded word = 79.0, channel = 1
decoded word = 34.0, channel = 3
decoded word = 86.0, channel = 4
decoded word = 148.0, channel = 8
decoded word = 172.0, channel = 10
decoded word = 109.0, channel = 11
decoded word = 13.0, channel = 12
decoded word = 185.0, channel = 13
decoded word = 8.0, channel = 15
decoded word = 79.0, channel = 17
decoded word = 159.0, channel = 18
decoded word = 110.0, channel = 19
decoded word = 147.0, channel = 21
decoded word = 51.0, channel = 24
decoded word = 223.0, channel = 27
decoded word = 203.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 3
decoded word = 159.0, channel = 0
decoded word = 97.0, channel = 1
decoded word = 26.0, channel = 3
decoded word = 88.0, channel = 4
decoded word = 120.0, channel = 8
decoded word = 129.0, channel = 10
decoded word = 105.0, channel = 11
decoded word = 21.0, channel = 12
decoded word = 191.0, channel = 13
decoded word = 103.0, channel = 17
decoded word = 129.0, channel = 18
decoded word = 109.0, channel = 19
decoded word = 160.0, channel = 21
decoded word = 6.0, channel = 23
decoded word = 76.0, channel = 24
decoded word = 211.0, channel = 27
decoded word = 201.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 4
decoded word = 151.0, channel = 0
decoded word = 117.0, channel = 1
decoded word = 15.0, channel = 3
decoded word = 96.0, channel = 4
decoded word = 106.0, channel = 8
decoded word = 155.0, channel = 10
decoded word = 117.0, channel = 11
decoded word = 39.0, channel = 12
decoded word = 203.0, channel = 13
decoded word = 30.0, channel = 15
decoded word = 89.0, channel = 17
decoded word = 104.0, channel = 18
decoded word = 104.0, channel = 19
decoded word = 163.0, channel = 21
decoded word = 34.0, channel = 23
decoded word = 60.0, channel = 24
decoded word = 221.0, channel = 27
decoded word = 209.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 5
decoded word = 138.0, channel = 0
decoded word = 91.0, channel = 1
decoded word = 34.0, channel = 3
decoded word = 68.0, channel = 4
decoded word = 114.0, channel = 8
decoded word = 137.0, channel = 10
decoded word = 129.0, channel = 11
decoded word = 34.0, channel = 12
decoded word = 217.0, channel = 13
decoded word = 25.0, channel = 15
decoded word = 92.0, channel = 17
decoded word = 132.0, channel = 18
decoded word = 105.0, channel = 19
decoded word = 182.0, channel = 21
decoded word = 44.0, channel = 23
decoded word = 65.0, channel = 24
decoded word = 237.0, channel = 27
decoded word = 182.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 6
decoded word = 164.0, channel = 0
decoded word = 158.0, channel = 1
decoded word = 1.0, channel = 2
decoded word = 24.0, channel = 3
decoded word = 78.0, channel = 4
decoded word = 140.0, channel = 8
decoded word = 132.0, channel = 10
decoded word = 123.0, channel = 11
decoded word = 238.0, channel = 13
decoded word = 2.0, channel = 15
decoded word = 143.0, channel = 17
decoded word = 97.0, channel = 18
decoded word = 41.0, channel = 19
decoded word = 153.0, channel = 21
decoded word = 69.0, channel = 23
decoded word = 44.0, channel = 24
decoded word = 251.0, channel = 27
decoded word = 176.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 7
decoded word = 94.0, channel = 0
decoded word = 20.0, channel = 3
decoded word = 74.0, channel = 4
decoded word = 217.0, channel = 10
decoded word = 255.0, channel = 11
decoded word = 114.0, channel = 12
decoded word = 46.0, channel = 13
decoded word = 26.0, channel = 14
decoded word = 146.0, channel = 18
decoded word = 137.0, channel = 19
decoded word = 255.0, channel = 20
decoded word = 229.0, channel = 21
decoded word = 35.0, channel = 22
decoded word = 255.0, channel = 23
decoded word = 51.0, channel = 26
decoded word = 222.0, channel = 27
decoded word = 79.0, channel = 29
decoded word = 255.0, channel = 30
-----
