-> col = 0
decoded word = 11.0, channel = 1
decoded word = 123.0, channel = 3
decoded word = 175.0, channel = 4
decoded word = 255.0, channel = 10
decoded word = 62.0, channel = 11
decoded word = 61.0, channel = 13
decoded word = 103.0, channel = 14
decoded word = 50.0, channel = 15
decoded word = 161.0, channel = 17
decoded word = 255.0, channel = 18
decoded word = 19.0, channel = 20
decoded word = 255.0, channel = 27
decoded word = 117.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 1
decoded word = 252.0, channel = 0
decoded word = 204.0, channel = 1
decoded word = 47.0, channel = 3
decoded word = 53.0, channel = 4
decoded word = 30.0, channel = 6
decoded word = 58.0, channel = 8
decoded word = 59.0, channel = 10
decoded word = 114.0, channel = 11
decoded word = 35.0, channel = 12
decoded word = 235.0, channel = 13
decoded word = 154.0, channel = 17
decoded word = 75.0, channel = 18
decoded word = 124.0, channel = 21
decoded word = 132.0, channel = 24
decoded word = 255.0, channel = 27
decoded word = 138.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 2
decoded word = 174.0, channel = 0
decoded word = 182.0, channel = 1
decoded word = 44.0, channel = 3
decoded word = 78.0, channel = 4
decoded word = 61.0, channel = 8
decoded word = 48.0, channel = 10
decoded word = 126.0, channel = 11
decoded word = 2.0, channel = 12
decoded word = 202.0, channel = 13
decoded word = 123.0, channel = 17
decoded word = 141.0, channel = 18
decoded word = 57.0, channel = 19
decoded word = 91.0, channel = 21
decoded word = 43.0, channel = 24
decoded word = 243.0, channel = 27
decoded word = 140.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 3
decoded word = 207.0, channel = 0
decoded word = 161.0, channel = 1
decoded word = 36.0, channel = 3
decoded word = 49.0, channel = 4
decoded word = 70.0, channel = 8
decoded word = 71.0, channel = 10
decoded word = 132.0, channel = 11
decoded word = 23.0, channel = 12
decoded word = 212.0, channel = 13
decoded word = 147.0, channel = 17
decoded word = 162.0, channel = 18
decoded word = 19.0, channel = 19
decoded word = 111.0, channel = 21
decoded word = 15.0, channel = 23
decoded word = 58.0, channel = 24
decoded word = 251.0, channel = 27
decoded word = 156.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 4
decoded word = 212.0, channel = 0
decoded word = 173.0, channel = 1
decoded word = 44.0, channel = 3
decoded word = 42.0, channel = 4
decoded word = 90.0, channel = 8
decoded word = 82.0, channel = 10
decoded word = 130.0, channel = 11
decoded word = 14.0, channel = 12
decoded word = 218.0, channel = 13
decoded word = 131.0, channel = 17
decoded word = 165.0, channel = 18
decoded word = 44.0, channel = 19
decoded word = 112.0, channel = 21
decoded word = 31.0, channel = 23
decoded word = 54.0, channel = 24
decoded word = 241.0, channel = 27
decoded word = 162.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 5
decoded word = 198.0, channel = 0
decoded word = 146.0, channel = 1
decoded word = 47.0, channel = 3
decoded word = 56.0, channel = 4
decoded word = 97.0, channel = 8
decoded word = 127.0, channel = 10
decoded word = 152.0, channel = 11
decoded word = 21.0, channel = 12
decoded word = 208.0, channel = 13
decoded word = 130.0, channel = 17
decoded word = 171.0, channel = 18
decoded word = 72.0, channel = 19
decoded word = 131.0, channel = 21
decoded word = 45.0, channel = 23
decoded word = 76.0, channel = 24
decoded word = 234.0, channel = 27
decoded word = 157.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 6
decoded word = 221.0, channel = 0
decoded word = 202.0, channel = 1
decoded word = 57.0, channel = 3
decoded word = 72.0, channel = 4
decoded word = 149.0, channel = 8
decoded word = 75.0, channel = 10
decoded word = 134.0, channel = 11
decoded word = 249.0, channel = 13
decoded word = 152.0, channel = 17
decoded word = 129.0, channel = 18
decoded word = 65.0, channel = 19
decoded word = 138.0, channel = 21
decoded word = 83.0, channel = 23
decoded word = 72.0, channel = 24
decoded word = 233.0, channel = 27
decoded word = 178.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 7
decoded word = 137.0, channel = 0
decoded word = 40.0, channel = 3
decoded word = 70.0, channel = 4
decoded word = 169.0, channel = 10
decoded word = 255.0, channel = 11
decoded word = 101.0, channel = 12
decoded word = 36.0, channel = 13
decoded word = 58.0, channel = 14
decoded word = 160.0, channel = 18
decoded word = 164.0, channel = 19
decoded word = 255.0, channel = 20
decoded word = 218.0, channel = 21
decoded word = 42.0, channel = 22
decoded word = 255.0, channel = 23
decoded word = 3.0, channel = 24
decoded word = 32.0, channel = 26
decoded word = 223.0, channel = 27
decoded word = 92.0, channel = 29
decoded word = 255.0, channel = 30
-----
