-> col = 0
decoded word = 235.0, channel = 2
decoded word = 255.0, channel = 3
decoded word = 84.0, channel = 4
decoded word = 255.0, channel = 5
decoded word = 39.0, channel = 9
decoded word = 14.0, channel = 10
decoded word = 255.0, channel = 11
decoded word = 15.0, channel = 13
decoded word = 249.0, channel = 14
decoded word = 161.0, channel = 15
decoded word = 97.0, channel = 16
decoded word = 98.0, channel = 19
decoded word = 187.0, channel = 20
decoded word = 76.0, channel = 21
decoded word = 76.0, channel = 22
decoded word = 30.0, channel = 23
decoded word = 205.0, channel = 25
decoded word = 107.0, channel = 27
decoded word = 155.0, channel = 28
decoded word = 254.0, channel = 30
-----
-> col = 1
decoded word = 255.0, channel = 2
decoded word = 199.0, channel = 3
decoded word = 89.0, channel = 4
decoded word = 255.0, channel = 5
decoded word = 15.0, channel = 7
decoded word = 59.0, channel = 9
decoded word = 211.0, channel = 11
decoded word = 170.0, channel = 14
decoded word = 208.0, channel = 15
decoded word = 76.0, channel = 16
decoded word = 92.0, channel = 18
decoded word = 191.0, channel = 20
decoded word = 2.0, channel = 21
decoded word = 161.0, channel = 22
decoded word = 88.0, channel = 23
decoded word = 255.0, channel = 25
decoded word = 109.0, channel = 27
decoded word = 161.0, channel = 28
decoded word = 120.0, channel = 30
-----
-> col = 2
decoded word = 255.0, channel = 2
decoded word = 216.0, channel = 3
decoded word = 116.0, channel = 4
decoded word = 255.0, channel = 5
decoded word = 9.0, channel = 7
decoded word = 59.0, channel = 9
decoded word = 248.0, channel = 11
decoded word = 11.0, channel = 13
decoded word = 163.0, channel = 14
decoded word = 201.0, channel = 15
decoded word = 103.0, channel = 16
decoded word = 105.0, channel = 18
decoded word = 28.0, channel = 19
decoded word = 216.0, channel = 20
decoded word = 2.0, channel = 21
decoded word = 139.0, channel = 22
decoded word = 94.0, channel = 23
decoded word = 255.0, channel = 25
decoded word = 106.0, channel = 27
decoded word = 166.0, channel = 28
decoded word = 116.0, channel = 30
-----
-> col = 3
decoded word = 255.0, channel = 2
decoded word = 206.0, channel = 3
decoded word = 107.0, channel = 4
decoded word = 255.0, channel = 5
decoded word = 5.0, channel = 7
decoded word = 63.0, channel = 9
decoded word = 254.0, channel = 11
decoded word = 18.0, channel = 13
decoded word = 174.0, channel = 14
decoded word = 198.0, channel = 15
decoded word = 119.0, channel = 16
decoded word = 71.0, channel = 18
decoded word = 21.0, channel = 19
decoded word = 224.0, channel = 20
decoded word = 19.0, channel = 21
decoded word = 132.0, channel = 22
decoded word = 87.0, channel = 23
decoded word = 255.0, channel = 25
decoded word = 112.0, channel = 27
decoded word = 170.0, channel = 28
decoded word = 102.0, channel = 30
-----
-> col = 4
decoded word = 255.0, channel = 2
decoded word = 215.0, channel = 3
decoded word = 107.0, channel = 4
decoded word = 255.0, channel = 5
decoded word = 62.0, channel = 9
decoded word = 255.0, channel = 11
decoded word = 2.0, channel = 13
decoded word = 174.0, channel = 14
decoded word = 165.0, channel = 15
decoded word = 102.0, channel = 16
decoded word = 72.0, channel = 18
decoded word = 35.0, channel = 19
decoded word = 213.0, channel = 20
decoded word = 16.0, channel = 21
decoded word = 141.0, channel = 22
decoded word = 108.0, channel = 23
decoded word = 255.0, channel = 25
decoded word = 128.0, channel = 27
decoded word = 159.0, channel = 28
decoded word = 114.0, channel = 30
-----
-> col = 5
decoded word = 255.0, channel = 2
decoded word = 217.0, channel = 3
decoded word = 121.0, channel = 4
decoded word = 255.0, channel = 5
decoded word = 82.0, channel = 9
decoded word = 236.0, channel = 11
decoded word = 12.0, channel = 13
decoded word = 192.0, channel = 14
decoded word = 191.0, channel = 15
decoded word = 98.0, channel = 16
decoded word = 52.0, channel = 18
decoded word = 16.0, channel = 19
decoded word = 221.0, channel = 20
decoded word = 22.0, channel = 21
decoded word = 125.0, channel = 22
decoded word = 94.0, channel = 23
decoded word = 255.0, channel = 25
decoded word = 126.0, channel = 27
decoded word = 172.0, channel = 28
decoded word = 119.0, channel = 30
-----
-> col = 6
decoded word = 255.0, channel = 2
decoded word = 186.0, channel = 3
decoded word = 138.0, channel = 4
decoded word = 255.0, channel = 5
decoded word = 22.0, channel = 7
decoded word = 73.0, channel = 9
decoded word = 255.0, channel = 11
decoded word = 213.0, channel = 14
decoded word = 161.0, channel = 15
decoded word = 59.0, channel = 16
decoded word = 91.0, channel = 18
decoded word = 222.0, channel = 20
decoded word = 37.0, channel = 21
decoded word = 180.0, channel = 22
decoded word = 80.0, channel = 23
decoded word = 255.0, channel = 25
decoded word = 86.0, channel = 27
decoded word = 166.0, channel = 28
decoded word = 88.0, channel = 30
-----
-> col = 7
decoded word = 255.0, channel = 2
decoded word = 164.0, channel = 3
decoded word = 57.0, channel = 4
decoded word = 255.0, channel = 5
decoded word = 75.0, channel = 9
decoded word = 233.0, channel = 11
decoded word = 212.0, channel = 14
decoded word = 149.0, channel = 15
decoded word = 158.0, channel = 16
decoded word = 47.0, channel = 18
decoded word = 255.0, channel = 20
decoded word = 122.0, channel = 22
decoded word = 201.0, channel = 23
decoded word = 227.0, channel = 25
decoded word = 146.0, channel = 27
decoded word = 185.0, channel = 28
decoded word = 190.0, channel = 30
-----
