-> col = 0
decoded word = 2.0, channel = 1
decoded word = 92.0, channel = 3
decoded word = 160.0, channel = 4
decoded word = 4.0, channel = 9
decoded word = 255.0, channel = 10
decoded word = 72.0, channel = 11
decoded word = 62.0, channel = 13
decoded word = 87.0, channel = 14
decoded word = 23.0, channel = 15
decoded word = 173.0, channel = 17
decoded word = 255.0, channel = 18
decoded word = 51.0, channel = 20
decoded word = 35.0, channel = 24
decoded word = 240.0, channel = 27
decoded word = 114.0, channel = 29
decoded word = 255.0, channel = 30
decoded word = 8.0, channel = 31
-----
-> col = 1
decoded word = 243.0, channel = 0
decoded word = 176.0, channel = 1
decoded word = 39.0, channel = 3
decoded word = 76.0, channel = 4
decoded word = 68.0, channel = 8
decoded word = 57.0, channel = 10
decoded word = 105.0, channel = 11
decoded word = 3.0, channel = 12
decoded word = 212.0, channel = 13
decoded word = 186.0, channel = 17
decoded word = 89.0, channel = 18
decoded word = 102.0, channel = 21
decoded word = 185.0, channel = 24
decoded word = 255.0, channel = 27
decoded word = 154.0, channel = 29
decoded word = 255.0, channel = 30
decoded word = 37.0, channel = 31
-----
-> col = 2
decoded word = 157.0, channel = 0
decoded word = 166.0, channel = 1
decoded word = 108.0, channel = 4
decoded word = 82.0, channel = 8
decoded word = 82.0, channel = 10
decoded word = 91.0, channel = 11
decoded word = 12.0, channel = 12
decoded word = 196.0, channel = 13
decoded word = 119.0, channel = 17
decoded word = 158.0, channel = 18
decoded word = 27.0, channel = 19
decoded word = 37.0, channel = 20
decoded word = 72.0, channel = 21
decoded word = 12.0, channel = 23
decoded word = 76.0, channel = 24
decoded word = 196.0, channel = 27
decoded word = 140.0, channel = 29
decoded word = 249.0, channel = 30
-----
-> col = 3
decoded word = 212.0, channel = 0
decoded word = 160.0, channel = 1
decoded word = 14.0, channel = 3
decoded word = 83.0, channel = 4
decoded word = 93.0, channel = 8
decoded word = 104.0, channel = 10
decoded word = 109.0, channel = 11
decoded word = 207.0, channel = 13
decoded word = 127.0, channel = 17
decoded word = 196.0, channel = 18
decoded word = 25.0, channel = 19
decoded word = 63.0, channel = 21
decoded word = 22.0, channel = 23
decoded word = 91.0, channel = 24
decoded word = 219.0, channel = 27
decoded word = 141.0, channel = 29
decoded word = 255.0, channel = 30
decoded word = 11.0, channel = 31
-----
-> col = 4
decoded word = 208.0, channel = 0
decoded word = 164.0, channel = 1
decoded word = 37.0, channel = 3
decoded word = 97.0, channel = 4
decoded word = 99.0, channel = 8
decoded word = 100.0, channel = 10
decoded word = 107.0, channel = 11
decoded word = 197.0, channel = 13
decoded word = 115.0, channel = 17
decoded word = 174.0, channel = 18
decoded word = 63.0, channel = 19
decoded word = 46.0, channel = 21
decoded word = 41.0, channel = 23
decoded word = 72.0, channel = 24
decoded word = 227.0, channel = 27
decoded word = 144.0, channel = 29
decoded word = 252.0, channel = 30
decoded word = 13.0, channel = 31
-----
-> col = 5
decoded word = 191.0, channel = 0
decoded word = 155.0, channel = 1
decoded word = 63.0, channel = 3
decoded word = 124.0, channel = 4
decoded word = 77.0, channel = 8
decoded word = 158.0, channel = 10
decoded word = 118.0, channel = 11
decoded word = 202.0, channel = 13
decoded word = 102.0, channel = 17
decoded word = 176.0, channel = 18
decoded word = 90.0, channel = 19
decoded word = 50.0, channel = 21
decoded word = 76.0, channel = 23
decoded word = 105.0, channel = 24
decoded word = 248.0, channel = 27
decoded word = 141.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 6
decoded word = 212.0, channel = 0
decoded word = 211.0, channel = 1
decoded word = 65.0, channel = 3
decoded word = 112.0, channel = 4
decoded word = 136.0, channel = 8
decoded word = 84.0, channel = 10
decoded word = 119.0, channel = 11
decoded word = 243.0, channel = 13
decoded word = 127.0, channel = 17
decoded word = 114.0, channel = 18
decoded word = 74.0, channel = 19
decoded word = 95.0, channel = 21
decoded word = 116.0, channel = 23
decoded word = 99.0, channel = 24
decoded word = 242.0, channel = 27
decoded word = 164.0, channel = 29
decoded word = 255.0, channel = 30
decoded word = 30.0, channel = 31
-----
-> col = 7
decoded word = 127.0, channel = 0
decoded word = 33.0, channel = 3
decoded word = 91.0, channel = 4
decoded word = 166.0, channel = 10
decoded word = 251.0, channel = 11
decoded word = 90.0, channel = 12
decoded word = 56.0, channel = 13
decoded word = 67.0, channel = 14
decoded word = 152.0, channel = 18
decoded word = 151.0, channel = 19
decoded word = 255.0, channel = 20
decoded word = 199.0, channel = 21
decoded word = 13.0, channel = 22
decoded word = 255.0, channel = 23
decoded word = 46.0, channel = 26
decoded word = 205.0, channel = 27
decoded word = 79.0, channel = 29
decoded word = 242.0, channel = 30
-----
