-> col = 0
decoded word = 201.0, channel = 3
decoded word = 209.0, channel = 4
decoded word = 53.0, channel = 6
decoded word = 24.0, channel = 9
decoded word = 205.0, channel = 11
decoded word = 133.0, channel = 12
decoded word = 181.0, channel = 13
decoded word = 150.0, channel = 14
decoded word = 211.0, channel = 16
decoded word = 54.0, channel = 17
decoded word = 59.0, channel = 18
decoded word = 171.0, channel = 19
decoded word = 117.0, channel = 20
decoded word = 10.0, channel = 21
decoded word = 9.0, channel = 22
decoded word = 22.0, channel = 23
decoded word = 165.0, channel = 27
decoded word = 76.0, channel = 28
-----
-> col = 1
decoded word = 185.0, channel = 3
decoded word = 87.0, channel = 4
decoded word = 103.0, channel = 6
decoded word = 91.0, channel = 7
decoded word = 90.0, channel = 11
decoded word = 255.0, channel = 12
decoded word = 43.0, channel = 14
decoded word = 142.0, channel = 15
decoded word = 255.0, channel = 16
decoded word = 60.0, channel = 17
decoded word = 183.0, channel = 18
decoded word = 145.0, channel = 19
decoded word = 152.0, channel = 21
decoded word = 47.0, channel = 26
decoded word = 20.0, channel = 27
decoded word = 29.0, channel = 31
-----
-> col = 2
decoded word = 242.0, channel = 3
decoded word = 154.0, channel = 4
decoded word = 108.0, channel = 6
decoded word = 30.0, channel = 7
decoded word = 3.0, channel = 10
decoded word = 36.0, channel = 11
decoded word = 214.0, channel = 12
decoded word = 45.0, channel = 14
decoded word = 64.0, channel = 15
decoded word = 188.0, channel = 16
decoded word = 77.0, channel = 17
decoded word = 96.0, channel = 18
decoded word = 74.0, channel = 19
decoded word = 64.0, channel = 20
decoded word = 55.0, channel = 21
decoded word = 63.0, channel = 25
decoded word = 3.0, channel = 28
-----
-> col = 3
decoded word = 29.0, channel = 1
decoded word = 255.0, channel = 3
decoded word = 216.0, channel = 4
decoded word = 227.0, channel = 6
decoded word = 83.0, channel = 8
decoded word = 23.0, channel = 9
decoded word = 224.0, channel = 11
decoded word = 60.0, channel = 12
decoded word = 132.0, channel = 14
decoded word = 109.0, channel = 15
decoded word = 163.0, channel = 16
decoded word = 55.0, channel = 17
decoded word = 96.0, channel = 18
decoded word = 22.0, channel = 19
decoded word = 57.0, channel = 21
decoded word = 64.0, channel = 23
decoded word = 13.0, channel = 25
decoded word = 27.0, channel = 26
decoded word = 87.0, channel = 27
decoded word = 60.0, channel = 31
-----
-> col = 4
decoded word = 205.0, channel = 3
decoded word = 255.0, channel = 4
decoded word = 110.0, channel = 6
decoded word = 14.0, channel = 8
decoded word = 61.0, channel = 10
decoded word = 122.0, channel = 11
decoded word = 52.0, channel = 12
decoded word = 78.0, channel = 13
decoded word = 217.0, channel = 14
decoded word = 87.0, channel = 15
decoded word = 255.0, channel = 16
decoded word = 91.0, channel = 17
decoded word = 87.0, channel = 18
decoded word = 90.0, channel = 19
decoded word = 21.0, channel = 20
decoded word = 132.0, channel = 21
decoded word = 35.0, channel = 23
decoded word = 255.0, channel = 25
decoded word = 22.0, channel = 26
decoded word = 43.0, channel = 27
decoded word = 19.0, channel = 28
decoded word = 8.0, channel = 31
-----
-> col = 5
decoded word = 198.0, channel = 3
decoded word = 209.0, channel = 4
decoded word = 80.0, channel = 6
decoded word = 31.0, channel = 7
decoded word = 146.0, channel = 8
decoded word = 115.0, channel = 11
decoded word = 90.0, channel = 12
decoded word = 146.0, channel = 14
decoded word = 208.0, channel = 15
decoded word = 255.0, channel = 16
decoded word = 223.0, channel = 18
decoded word = 208.0, channel = 19
decoded word = 117.0, channel = 20
decoded word = 131.0, channel = 21
decoded word = 65.0, channel = 25
decoded word = 28.0, channel = 27
decoded word = 51.0, channel = 28
decoded word = 30.0, channel = 29
decoded word = 146.0, channel = 31
-----
-> col = 6
decoded word = 153.0, channel = 3
decoded word = 188.0, channel = 4
decoded word = 3.0, channel = 6
decoded word = 27.0, channel = 7
decoded word = 87.0, channel = 9
decoded word = 47.0, channel = 10
decoded word = 79.0, channel = 11
decoded word = 152.0, channel = 12
decoded word = 15.0, channel = 13
decoded word = 255.0, channel = 14
decoded word = 214.0, channel = 15
decoded word = 147.0, channel = 16
decoded word = 98.0, channel = 17
decoded word = 183.0, channel = 18
decoded word = 142.0, channel = 19
decoded word = 8.0, channel = 20
decoded word = 132.0, channel = 21
decoded word = 27.0, channel = 22
decoded word = 75.0, channel = 23
decoded word = 57.0, channel = 25
decoded word = 122.0, channel = 27
-----
-> col = 7
decoded word = 7.0, channel = 0
decoded word = 255.0, channel = 3
decoded word = 218.0, channel = 4
decoded word = 99.0, channel = 6
decoded word = 23.0, channel = 8
decoded word = 179.0, channel = 11
decoded word = 195.0, channel = 12
decoded word = 129.0, channel = 13
decoded word = 99.0, channel = 14
decoded word = 183.0, channel = 15
decoded word = 123.0, channel = 16
decoded word = 135.0, channel = 17
decoded word = 65.0, channel = 18
decoded word = 129.0, channel = 19
decoded word = 2.0, channel = 20
decoded word = 92.0, channel = 21
decoded word = 78.0, channel = 23
decoded word = 29.0, channel = 25
decoded word = 170.0, channel = 27
decoded word = 27.0, channel = 31
-----
