-> col = 0
decoded word = 4.0, channel = 1
decoded word = 255.0, channel = 3
decoded word = 255.0, channel = 4
decoded word = 116.0, channel = 6
decoded word = 109.0, channel = 7
decoded word = 10.0, channel = 9
decoded word = 199.0, channel = 11
decoded word = 99.0, channel = 12
decoded word = 47.0, channel = 13
decoded word = 220.0, channel = 14
decoded word = 58.0, channel = 15
decoded word = 255.0, channel = 16
decoded word = 89.0, channel = 17
decoded word = 244.0, channel = 19
decoded word = 98.0, channel = 20
decoded word = 119.0, channel = 23
decoded word = 33.0, channel = 25
decoded word = 96.0, channel = 27
decoded word = 131.0, channel = 28
decoded word = 14.0, channel = 31
-----
-> col = 1
decoded word = 246.0, channel = 3
decoded word = 180.0, channel = 4
decoded word = 56.0, channel = 6
decoded word = 71.0, channel = 7
decoded word = 97.0, channel = 8
decoded word = 3.0, channel = 9
decoded word = 144.0, channel = 11
decoded word = 175.0, channel = 12
decoded word = 209.0, channel = 14
decoded word = 179.0, channel = 15
decoded word = 246.0, channel = 16
decoded word = 21.0, channel = 17
decoded word = 59.0, channel = 18
decoded word = 121.0, channel = 19
decoded word = 11.0, channel = 20
decoded word = 9.0, channel = 21
decoded word = 130.0, channel = 23
decoded word = 92.0, channel = 27
decoded word = 18.0, channel = 28
-----
-> col = 2
decoded word = 2.0, channel = 1
decoded word = 255.0, channel = 3
decoded word = 140.0, channel = 4
decoded word = 87.0, channel = 7
decoded word = 26.0, channel = 8
decoded word = 2.0, channel = 9
decoded word = 147.0, channel = 11
decoded word = 140.0, channel = 12
decoded word = 160.0, channel = 14
decoded word = 210.0, channel = 15
decoded word = 199.0, channel = 16
decoded word = 42.0, channel = 17
decoded word = 38.0, channel = 18
decoded word = 213.0, channel = 19
decoded word = 26.0, channel = 20
decoded word = 24.0, channel = 21
decoded word = 52.0, channel = 23
decoded word = 167.0, channel = 27
decoded word = 34.0, channel = 28
-----
-> col = 3
decoded word = 255.0, channel = 3
decoded word = 201.0, channel = 4
decoded word = 77.0, channel = 6
decoded word = 63.0, channel = 7
decoded word = 19.0, channel = 8
decoded word = 26.0, channel = 10
decoded word = 151.0, channel = 11
decoded word = 89.0, channel = 12
decoded word = 77.0, channel = 14
decoded word = 76.0, channel = 15
decoded word = 192.0, channel = 16
decoded word = 27.0, channel = 17
decoded word = 21.0, channel = 18
decoded word = 255.0, channel = 19
decoded word = 20.0, channel = 20
decoded word = 85.0, channel = 23
decoded word = 147.0, channel = 27
decoded word = 98.0, channel = 28
decoded word = 11.0, channel = 29
decoded word = 50.0, channel = 31
-----
-> col = 4
decoded word = 255.0, channel = 3
decoded word = 211.0, channel = 4
decoded word = 38.0, channel = 6
decoded word = 120.0, channel = 7
decoded word = 11.0, channel = 8
decoded word = 62.0, channel = 11
decoded word = 175.0, channel = 14
decoded word = 138.0, channel = 15
decoded word = 255.0, channel = 16
decoded word = 51.0, channel = 17
decoded word = 46.0, channel = 18
decoded word = 243.0, channel = 19
decoded word = 46.0, channel = 21
decoded word = 148.0, channel = 23
decoded word = 71.0, channel = 26
decoded word = 81.0, channel = 27
decoded word = 18.0, channel = 28
-----
-> col = 5
decoded word = 255.0, channel = 3
decoded word = 197.0, channel = 4
decoded word = 21.0, channel = 6
decoded word = 152.0, channel = 7
decoded word = 51.0, channel = 8
decoded word = 150.0, channel = 11
decoded word = 214.0, channel = 12
decoded word = 160.0, channel = 14
decoded word = 222.0, channel = 15
decoded word = 155.0, channel = 16
decoded word = 62.0, channel = 17
decoded word = 122.0, channel = 18
decoded word = 194.0, channel = 19
decoded word = 95.0, channel = 21
decoded word = 172.0, channel = 23
decoded word = 116.0, channel = 27
decoded word = 35.0, channel = 28
-----
-> col = 6
decoded word = 223.0, channel = 3
decoded word = 252.0, channel = 4
decoded word = 9.0, channel = 6
decoded word = 114.0, channel = 7
decoded word = 153.0, channel = 11
decoded word = 102.0, channel = 12
decoded word = 93.0, channel = 14
decoded word = 245.0, channel = 15
decoded word = 255.0, channel = 16
decoded word = 81.0, channel = 18
decoded word = 243.0, channel = 19
decoded word = 9.0, channel = 20
decoded word = 5.0, channel = 21
decoded word = 159.0, channel = 23
decoded word = 18.0, channel = 25
decoded word = 183.0, channel = 27
decoded word = 43.0, channel = 28
-----
-> col = 7
decoded word = 2.0, channel = 1
decoded word = 255.0, channel = 3
decoded word = 235.0, channel = 4
decoded word = 75.0, channel = 6
decoded word = 202.0, channel = 7
decoded word = 134.0, channel = 8
decoded word = 62.0, channel = 11
decoded word = 95.0, channel = 12
decoded word = 103.0, channel = 13
decoded word = 216.0, channel = 14
decoded word = 154.0, channel = 15
decoded word = 212.0, channel = 16
decoded word = 5.0, channel = 17
decoded word = 94.0, channel = 18
decoded word = 228.0, channel = 19
decoded word = 31.0, channel = 20
decoded word = 123.0, channel = 21
decoded word = 199.0, channel = 23
decoded word = 107.0, channel = 25
decoded word = 149.0, channel = 27
decoded word = 162.0, channel = 28
-----
