-> col = 0
decoded word = 196.0, channel = 3
decoded word = 204.0, channel = 4
decoded word = 96.0, channel = 6
decoded word = 46.0, channel = 8
decoded word = 190.0, channel = 9
decoded word = 139.0, channel = 11
decoded word = 108.0, channel = 12
decoded word = 101.0, channel = 13
decoded word = 172.0, channel = 14
decoded word = 42.0, channel = 15
decoded word = 249.0, channel = 16
decoded word = 12.0, channel = 17
decoded word = 177.0, channel = 18
decoded word = 190.0, channel = 19
decoded word = 162.0, channel = 20
decoded word = 21.0, channel = 23
decoded word = 121.0, channel = 25
decoded word = 61.0, channel = 27
decoded word = 126.0, channel = 28
-----
-> col = 1
decoded word = 29.0, channel = 1
decoded word = 224.0, channel = 3
decoded word = 85.0, channel = 4
decoded word = 36.0, channel = 6
decoded word = 69.0, channel = 8
decoded word = 65.0, channel = 11
decoded word = 67.0, channel = 12
decoded word = 204.0, channel = 14
decoded word = 95.0, channel = 15
decoded word = 212.0, channel = 16
decoded word = 181.0, channel = 18
decoded word = 141.0, channel = 19
decoded word = 20.0, channel = 20
decoded word = 45.0, channel = 21
decoded word = 44.0, channel = 23
decoded word = 14.0, channel = 27
-----
-> col = 2
decoded word = 255.0, channel = 3
decoded word = 178.0, channel = 4
decoded word = 84.0, channel = 6
decoded word = 89.0, channel = 10
decoded word = 96.0, channel = 11
decoded word = 181.0, channel = 12
decoded word = 182.0, channel = 14
decoded word = 24.0, channel = 15
decoded word = 164.0, channel = 16
decoded word = 74.0, channel = 17
decoded word = 223.0, channel = 19
decoded word = 112.0, channel = 20
decoded word = 98.0, channel = 21
decoded word = 63.0, channel = 27
-----
-> col = 3
decoded word = 226.0, channel = 3
decoded word = 255.0, channel = 4
decoded word = 158.0, channel = 6
decoded word = 7.0, channel = 7
decoded word = 78.0, channel = 9
decoded word = 103.0, channel = 10
decoded word = 35.0, channel = 11
decoded word = 96.0, channel = 12
decoded word = 185.0, channel = 14
decoded word = 189.0, channel = 16
decoded word = 162.0, channel = 18
decoded word = 92.0, channel = 19
decoded word = 48.0, channel = 20
decoded word = 5.0, channel = 21
decoded word = 57.0, channel = 25
decoded word = 43.0, channel = 27
decoded word = 19.0, channel = 28
-----
-> col = 4
decoded word = 76.0, channel = 1
decoded word = 215.0, channel = 3
decoded word = 245.0, channel = 4
decoded word = 47.0, channel = 6
decoded word = 89.0, channel = 8
decoded word = 77.0, channel = 10
decoded word = 85.0, channel = 11
decoded word = 62.0, channel = 12
decoded word = 158.0, channel = 14
decoded word = 103.0, channel = 15
decoded word = 154.0, channel = 16
decoded word = 10.0, channel = 17
decoded word = 92.0, channel = 18
decoded word = 137.0, channel = 19
decoded word = 18.0, channel = 20
decoded word = 51.0, channel = 21
decoded word = 44.0, channel = 22
decoded word = 15.0, channel = 23
-----
-> col = 5
decoded word = 185.0, channel = 3
decoded word = 202.0, channel = 4
decoded word = 84.0, channel = 6
decoded word = 16.0, channel = 7
decoded word = 149.0, channel = 10
decoded word = 144.0, channel = 11
decoded word = 26.0, channel = 12
decoded word = 23.0, channel = 13
decoded word = 81.0, channel = 14
decoded word = 165.0, channel = 15
decoded word = 161.0, channel = 16
decoded word = 169.0, channel = 17
decoded word = 104.0, channel = 19
decoded word = 141.0, channel = 20
decoded word = 8.0, channel = 21
decoded word = 127.0, channel = 27
decoded word = 24.0, channel = 29
-----
-> col = 6
decoded word = 77.0, channel = 1
decoded word = 146.0, channel = 3
decoded word = 229.0, channel = 4
decoded word = 65.0, channel = 6
decoded word = 148.0, channel = 7
decoded word = 40.0, channel = 9
decoded word = 116.0, channel = 11
decoded word = 225.0, channel = 12
decoded word = 9.0, channel = 13
decoded word = 184.0, channel = 14
decoded word = 195.0, channel = 16
decoded word = 68.0, channel = 18
decoded word = 188.0, channel = 19
decoded word = 130.0, channel = 20
decoded word = 36.0, channel = 23
decoded word = 116.0, channel = 25
decoded word = 31.0, channel = 27
decoded word = 60.0, channel = 30
decoded word = 123.0, channel = 31
-----
-> col = 7
decoded word = 179.0, channel = 3
decoded word = 219.0, channel = 4
decoded word = 93.0, channel = 6
decoded word = 94.0, channel = 8
decoded word = 63.0, channel = 10
decoded word = 153.0, channel = 11
decoded word = 90.0, channel = 12
decoded word = 141.0, channel = 13
decoded word = 158.0, channel = 14
decoded word = 126.0, channel = 15
decoded word = 237.0, channel = 16
decoded word = 169.0, channel = 17
decoded word = 102.0, channel = 18
decoded word = 77.0, channel = 19
decoded word = 85.0, channel = 20
decoded word = 118.0, channel = 21
decoded word = 21.0, channel = 22
decoded word = 126.0, channel = 23
decoded word = 188.0, channel = 27
decoded word = 115.0, channel = 28
-----
