-> col = 0
decoded word = 97.0, channel = 3
decoded word = 191.0, channel = 4
decoded word = 7.0, channel = 9
decoded word = 255.0, channel = 10
decoded word = 89.0, channel = 11
decoded word = 49.0, channel = 13
decoded word = 87.0, channel = 14
decoded word = 61.0, channel = 15
decoded word = 182.0, channel = 17
decoded word = 255.0, channel = 18
decoded word = 30.0, channel = 20
decoded word = 251.0, channel = 27
decoded word = 115.0, channel = 29
decoded word = 255.0, channel = 30
decoded word = 4.0, channel = 31
-----
-> col = 1
decoded word = 255.0, channel = 0
decoded word = 177.0, channel = 1
decoded word = 43.0, channel = 3
decoded word = 72.0, channel = 4
decoded word = 12.0, channel = 6
decoded word = 74.0, channel = 8
decoded word = 52.0, channel = 10
decoded word = 113.0, channel = 11
decoded word = 3.0, channel = 12
decoded word = 215.0, channel = 13
decoded word = 166.0, channel = 17
decoded word = 75.0, channel = 18
decoded word = 134.0, channel = 21
decoded word = 143.0, channel = 24
decoded word = 255.0, channel = 27
decoded word = 170.0, channel = 29
decoded word = 255.0, channel = 30
decoded word = 42.0, channel = 31
-----
-> col = 2
decoded word = 135.0, channel = 0
decoded word = 142.0, channel = 1
decoded word = 39.0, channel = 3
decoded word = 83.0, channel = 4
decoded word = 99.0, channel = 8
decoded word = 110.0, channel = 10
decoded word = 95.0, channel = 11
decoded word = 5.0, channel = 12
decoded word = 178.0, channel = 13
decoded word = 122.0, channel = 17
decoded word = 131.0, channel = 18
decoded word = 53.0, channel = 19
decoded word = 112.0, channel = 21
decoded word = 25.0, channel = 23
decoded word = 52.0, channel = 24
decoded word = 255.0, channel = 27
decoded word = 150.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 3
decoded word = 209.0, channel = 0
decoded word = 183.0, channel = 1
decoded word = 37.0, channel = 3
decoded word = 59.0, channel = 4
decoded word = 74.0, channel = 8
decoded word = 102.0, channel = 10
decoded word = 106.0, channel = 11
decoded word = 18.0, channel = 12
decoded word = 205.0, channel = 13
decoded word = 128.0, channel = 17
decoded word = 128.0, channel = 18
decoded word = 48.0, channel = 19
decoded word = 117.0, channel = 21
decoded word = 34.0, channel = 23
decoded word = 77.0, channel = 24
decoded word = 234.0, channel = 27
decoded word = 177.0, channel = 29
decoded word = 255.0, channel = 30
decoded word = 5.0, channel = 31
-----
-> col = 4
decoded word = 207.0, channel = 0
decoded word = 154.0, channel = 1
decoded word = 42.0, channel = 3
decoded word = 52.0, channel = 4
decoded word = 58.0, channel = 8
decoded word = 105.0, channel = 10
decoded word = 106.0, channel = 11
decoded word = 9.0, channel = 12
decoded word = 209.0, channel = 13
decoded word = 135.0, channel = 17
decoded word = 142.0, channel = 18
decoded word = 73.0, channel = 19
decoded word = 147.0, channel = 21
decoded word = 9.0, channel = 23
decoded word = 59.0, channel = 24
decoded word = 245.0, channel = 27
decoded word = 170.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 5
decoded word = 206.0, channel = 0
decoded word = 150.0, channel = 1
decoded word = 11.0, channel = 3
decoded word = 85.0, channel = 4
decoded word = 102.0, channel = 8
decoded word = 126.0, channel = 10
decoded word = 141.0, channel = 11
decoded word = 32.0, channel = 12
decoded word = 206.0, channel = 13
decoded word = 10.0, channel = 15
decoded word = 102.0, channel = 17
decoded word = 164.0, channel = 18
decoded word = 74.0, channel = 19
decoded word = 1.0, channel = 20
decoded word = 140.0, channel = 21
decoded word = 55.0, channel = 23
decoded word = 74.0, channel = 24
decoded word = 218.0, channel = 27
decoded word = 177.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 6
decoded word = 203.0, channel = 0
decoded word = 195.0, channel = 1
decoded word = 39.0, channel = 3
decoded word = 82.0, channel = 4
decoded word = 147.0, channel = 8
decoded word = 88.0, channel = 10
decoded word = 119.0, channel = 11
decoded word = 230.0, channel = 13
decoded word = 136.0, channel = 17
decoded word = 153.0, channel = 18
decoded word = 48.0, channel = 19
decoded word = 126.0, channel = 21
decoded word = 76.0, channel = 23
decoded word = 87.0, channel = 24
decoded word = 255.0, channel = 27
decoded word = 191.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 7
decoded word = 122.0, channel = 0
decoded word = 29.0, channel = 3
decoded word = 58.0, channel = 4
decoded word = 172.0, channel = 10
decoded word = 255.0, channel = 11
decoded word = 108.0, channel = 12
decoded word = 38.0, channel = 13
decoded word = 68.0, channel = 14
decoded word = 161.0, channel = 18
decoded word = 135.0, channel = 19
decoded word = 255.0, channel = 20
decoded word = 223.0, channel = 21
decoded word = 28.0, channel = 22
decoded word = 255.0, channel = 23
decoded word = 2.0, channel = 24
decoded word = 26.0, channel = 26
decoded word = 233.0, channel = 27
decoded word = 90.0, channel = 29
decoded word = 255.0, channel = 30
-----
