-> col = 0
decoded word = 253.0, channel = 3
decoded word = 209.0, channel = 4
decoded word = 92.0, channel = 6
decoded word = 120.0, channel = 7
decoded word = 57.0, channel = 8
decoded word = 41.0, channel = 10
decoded word = 71.0, channel = 11
decoded word = 110.0, channel = 12
decoded word = 29.0, channel = 13
decoded word = 230.0, channel = 14
decoded word = 150.0, channel = 15
decoded word = 255.0, channel = 16
decoded word = 160.0, channel = 18
decoded word = 208.0, channel = 19
decoded word = 67.0, channel = 20
decoded word = 68.0, channel = 21
decoded word = 114.0, channel = 25
decoded word = 107.0, channel = 27
decoded word = 117.0, channel = 28
decoded word = 7.0, channel = 31
-----
-> col = 1
decoded word = 140.0, channel = 3
decoded word = 240.0, channel = 4
decoded word = 60.0, channel = 6
decoded word = 64.0, channel = 7
decoded word = 17.0, channel = 8
decoded word = 14.0, channel = 10
decoded word = 166.0, channel = 11
decoded word = 19.0, channel = 12
decoded word = 137.0, channel = 14
decoded word = 94.0, channel = 15
decoded word = 175.0, channel = 16
decoded word = 255.0, channel = 18
decoded word = 172.0, channel = 19
decoded word = 238.0, channel = 21
decoded word = 108.0, channel = 25
decoded word = 139.0, channel = 27
decoded word = 12.0, channel = 30
-----
-> col = 2
decoded word = 190.0, channel = 3
decoded word = 182.0, channel = 4
decoded word = 29.0, channel = 6
decoded word = 18.0, channel = 8
decoded word = 44.0, channel = 10
decoded word = 150.0, channel = 11
decoded word = 59.0, channel = 12
decoded word = 56.0, channel = 14
decoded word = 118.0, channel = 15
decoded word = 211.0, channel = 16
decoded word = 14.0, channel = 17
decoded word = 98.0, channel = 18
decoded word = 255.0, channel = 19
decoded word = 45.0, channel = 20
decoded word = 176.0, channel = 25
decoded word = 14.0, channel = 26
decoded word = 47.0, channel = 27
-----
-> col = 3
decoded word = 47.0, channel = 0
decoded word = 192.0, channel = 3
decoded word = 189.0, channel = 4
decoded word = 67.0, channel = 6
decoded word = 59.0, channel = 7
decoded word = 39.0, channel = 8
decoded word = 132.0, channel = 10
decoded word = 1.0, channel = 11
decoded word = 176.0, channel = 12
decoded word = 196.0, channel = 14
decoded word = 195.0, channel = 16
decoded word = 98.0, channel = 18
decoded word = 246.0, channel = 19
decoded word = 18.0, channel = 20
decoded word = 133.0, channel = 25
decoded word = 84.0, channel = 27
decoded word = 158.0, channel = 31
-----
-> col = 4
decoded word = 255.0, channel = 3
decoded word = 255.0, channel = 4
decoded word = 57.0, channel = 6
decoded word = 58.0, channel = 8
decoded word = 54.0, channel = 9
decoded word = 157.0, channel = 11
decoded word = 17.0, channel = 12
decoded word = 63.0, channel = 13
decoded word = 123.0, channel = 14
decoded word = 17.0, channel = 15
decoded word = 120.0, channel = 16
decoded word = 58.0, channel = 17
decoded word = 82.0, channel = 18
decoded word = 101.0, channel = 19
decoded word = 50.0, channel = 20
decoded word = 161.0, channel = 21
decoded word = 51.0, channel = 23
decoded word = 80.0, channel = 25
decoded word = 149.0, channel = 27
decoded word = 14.0, channel = 28
-----
-> col = 5
decoded word = 3.0, channel = 1
decoded word = 96.0, channel = 3
decoded word = 172.0, channel = 4
decoded word = 76.0, channel = 6
decoded word = 85.0, channel = 9
decoded word = 96.0, channel = 11
decoded word = 75.0, channel = 12
decoded word = 22.0, channel = 13
decoded word = 34.0, channel = 14
decoded word = 173.0, channel = 15
decoded word = 255.0, channel = 16
decoded word = 72.0, channel = 17
decoded word = 91.0, channel = 18
decoded word = 156.0, channel = 19
decoded word = 84.0, channel = 20
decoded word = 175.0, channel = 27
-----
-> col = 6
decoded word = 174.0, channel = 3
decoded word = 139.0, channel = 4
decoded word = 60.0, channel = 6
decoded word = 157.0, channel = 7
decoded word = 102.0, channel = 11
decoded word = 105.0, channel = 12
decoded word = 161.0, channel = 14
decoded word = 95.0, channel = 15
decoded word = 218.0, channel = 16
decoded word = 106.0, channel = 17
decoded word = 55.0, channel = 18
decoded word = 128.0, channel = 19
decoded word = 119.0, channel = 20
decoded word = 61.0, channel = 21
decoded word = 59.0, channel = 23
decoded word = 38.0, channel = 27
decoded word = 30.0, channel = 31
-----
-> col = 7
decoded word = 188.0, channel = 3
decoded word = 223.0, channel = 4
decoded word = 96.0, channel = 6
decoded word = 102.0, channel = 8
decoded word = 179.0, channel = 11
decoded word = 72.0, channel = 12
decoded word = 209.0, channel = 14
decoded word = 134.0, channel = 15
decoded word = 107.0, channel = 16
decoded word = 148.0, channel = 17
decoded word = 146.0, channel = 19
decoded word = 66.0, channel = 20
decoded word = 127.0, channel = 21
decoded word = 94.0, channel = 23
decoded word = 41.0, channel = 25
decoded word = 101.0, channel = 27
decoded word = 120.0, channel = 28
decoded word = 151.0, channel = 31
-----
