-> col = 0
decoded word = 14.0, channel = 0
decoded word = 255.0, channel = 3
decoded word = 252.0, channel = 4
decoded word = 113.0, channel = 6
decoded word = 79.0, channel = 7
decoded word = 161.0, channel = 11
decoded word = 192.0, channel = 12
decoded word = 147.0, channel = 13
decoded word = 206.0, channel = 14
decoded word = 233.0, channel = 16
decoded word = 123.0, channel = 17
decoded word = 120.0, channel = 19
decoded word = 88.0, channel = 20
decoded word = 5.0, channel = 21
decoded word = 6.0, channel = 23
decoded word = 12.0, channel = 25
decoded word = 134.0, channel = 27
decoded word = 128.0, channel = 28
decoded word = 31.0, channel = 31
-----
-> col = 1
decoded word = 250.0, channel = 3
decoded word = 191.0, channel = 4
decoded word = 127.0, channel = 6
decoded word = 40.0, channel = 7
decoded word = 21.0, channel = 9
decoded word = 7.0, channel = 10
decoded word = 122.0, channel = 11
decoded word = 194.0, channel = 12
decoded word = 60.0, channel = 14
decoded word = 128.0, channel = 15
decoded word = 206.0, channel = 16
decoded word = 94.0, channel = 17
decoded word = 83.0, channel = 18
decoded word = 126.0, channel = 19
decoded word = 100.0, channel = 20
decoded word = 38.0, channel = 21
decoded word = 83.0, channel = 27
decoded word = 11.0, channel = 31
-----
-> col = 2
decoded word = 9.0, channel = 1
decoded word = 254.0, channel = 3
decoded word = 130.0, channel = 4
decoded word = 106.0, channel = 6
decoded word = 96.0, channel = 7
decoded word = 69.0, channel = 10
decoded word = 87.0, channel = 11
decoded word = 24.0, channel = 12
decoded word = 54.0, channel = 13
decoded word = 129.0, channel = 14
decoded word = 134.0, channel = 15
decoded word = 255.0, channel = 16
decoded word = 42.0, channel = 17
decoded word = 105.0, channel = 18
decoded word = 99.0, channel = 19
decoded word = 11.0, channel = 20
decoded word = 24.0, channel = 21
decoded word = 108.0, channel = 27
decoded word = 18.0, channel = 28
-----
-> col = 3
decoded word = 255.0, channel = 3
decoded word = 157.0, channel = 4
decoded word = 89.0, channel = 6
decoded word = 63.0, channel = 7
decoded word = 94.0, channel = 10
decoded word = 68.0, channel = 11
decoded word = 19.0, channel = 13
decoded word = 155.0, channel = 14
decoded word = 11.0, channel = 15
decoded word = 199.0, channel = 16
decoded word = 120.0, channel = 17
decoded word = 36.0, channel = 18
decoded word = 126.0, channel = 19
decoded word = 15.0, channel = 20
decoded word = 93.0, channel = 27
-----
-> col = 4
decoded word = 38.0, channel = 0
decoded word = 255.0, channel = 3
decoded word = 255.0, channel = 4
decoded word = 133.0, channel = 6
decoded word = 159.0, channel = 7
decoded word = 30.0, channel = 10
decoded word = 137.0, channel = 11
decoded word = 101.0, channel = 12
decoded word = 10.0, channel = 13
decoded word = 255.0, channel = 14
decoded word = 7.0, channel = 15
decoded word = 255.0, channel = 16
decoded word = 75.0, channel = 18
decoded word = 122.0, channel = 19
decoded word = 57.0, channel = 20
decoded word = 46.0, channel = 21
decoded word = 49.0, channel = 25
decoded word = 157.0, channel = 27
decoded word = 33.0, channel = 31
-----
-> col = 5
decoded word = 7.0, channel = 1
decoded word = 157.0, channel = 3
decoded word = 204.0, channel = 4
decoded word = 24.0, channel = 6
decoded word = 119.0, channel = 7
decoded word = 100.0, channel = 8
decoded word = 65.0, channel = 10
decoded word = 116.0, channel = 12
decoded word = 39.0, channel = 13
decoded word = 99.0, channel = 14
decoded word = 124.0, channel = 15
decoded word = 255.0, channel = 16
decoded word = 172.0, channel = 18
decoded word = 255.0, channel = 19
decoded word = 107.0, channel = 20
decoded word = 7.0, channel = 21
decoded word = 25.0, channel = 23
decoded word = 170.0, channel = 25
decoded word = 93.0, channel = 27
-----
-> col = 6
decoded word = 216.0, channel = 3
decoded word = 189.0, channel = 4
decoded word = 1.0, channel = 6
decoded word = 255.0, channel = 7
decoded word = 18.0, channel = 10
decoded word = 104.0, channel = 11
decoded word = 138.0, channel = 12
decoded word = 49.0, channel = 13
decoded word = 158.0, channel = 14
decoded word = 83.0, channel = 15
decoded word = 227.0, channel = 16
decoded word = 212.0, channel = 18
decoded word = 158.0, channel = 19
decoded word = 81.0, channel = 20
decoded word = 5.0, channel = 23
decoded word = 134.0, channel = 27
decoded word = 85.0, channel = 31
-----
-> col = 7
decoded word = 255.0, channel = 3
decoded word = 242.0, channel = 4
decoded word = 83.0, channel = 6
decoded word = 45.0, channel = 7
decoded word = 103.0, channel = 8
decoded word = 188.0, channel = 11
decoded word = 37.0, channel = 12
decoded word = 107.0, channel = 13
decoded word = 175.0, channel = 14
decoded word = 59.0, channel = 15
decoded word = 189.0, channel = 16
decoded word = 114.0, channel = 17
decoded word = 156.0, channel = 18
decoded word = 205.0, channel = 19
decoded word = 134.0, channel = 21
decoded word = 89.0, channel = 23
decoded word = 170.0, channel = 27
decoded word = 54.0, channel = 28
decoded word = 19.0, channel = 31
-----
