-> col = 0
decoded word = 70.0, channel = 3
decoded word = 182.0, channel = 4
decoded word = 26.0, channel = 9
decoded word = 255.0, channel = 10
decoded word = 78.0, channel = 11
decoded word = 55.0, channel = 13
decoded word = 101.0, channel = 14
decoded word = 65.0, channel = 15
decoded word = 190.0, channel = 17
decoded word = 255.0, channel = 18
decoded word = 10.0, channel = 24
decoded word = 238.0, channel = 27
decoded word = 129.0, channel = 29
decoded word = 255.0, channel = 30
decoded word = 1.0, channel = 31
-----
-> col = 1
decoded word = 243.0, channel = 0
decoded word = 167.0, channel = 1
decoded word = 74.0, channel = 4
decoded word = 68.0, channel = 8
decoded word = 32.0, channel = 10
decoded word = 121.0, channel = 11
decoded word = 29.0, channel = 12
decoded word = 202.0, channel = 13
decoded word = 189.0, channel = 17
decoded word = 68.0, channel = 18
decoded word = 176.0, channel = 21
decoded word = 148.0, channel = 24
decoded word = 255.0, channel = 27
decoded word = 184.0, channel = 29
decoded word = 255.0, channel = 30
decoded word = 23.0, channel = 31
-----
-> col = 2
decoded word = 180.0, channel = 0
decoded word = 151.0, channel = 1
decoded word = 7.0, channel = 3
decoded word = 61.0, channel = 4
decoded word = 74.0, channel = 8
decoded word = 82.0, channel = 10
decoded word = 111.0, channel = 11
decoded word = 30.0, channel = 12
decoded word = 193.0, channel = 13
decoded word = 107.0, channel = 17
decoded word = 128.0, channel = 18
decoded word = 44.0, channel = 19
decoded word = 149.0, channel = 21
decoded word = 64.0, channel = 24
decoded word = 227.0, channel = 27
decoded word = 158.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 3
decoded word = 191.0, channel = 0
decoded word = 140.0, channel = 1
decoded word = 12.0, channel = 3
decoded word = 38.0, channel = 4
decoded word = 80.0, channel = 8
decoded word = 96.0, channel = 10
decoded word = 125.0, channel = 11
decoded word = 36.0, channel = 12
decoded word = 193.0, channel = 13
decoded word = 168.0, channel = 17
decoded word = 134.0, channel = 18
decoded word = 6.0, channel = 19
decoded word = 146.0, channel = 21
decoded word = 97.0, channel = 24
decoded word = 229.0, channel = 27
decoded word = 158.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 4
decoded word = 221.0, channel = 0
decoded word = 165.0, channel = 1
decoded word = 52.0, channel = 4
decoded word = 83.0, channel = 8
decoded word = 95.0, channel = 10
decoded word = 135.0, channel = 11
decoded word = 39.0, channel = 12
decoded word = 207.0, channel = 13
decoded word = 133.0, channel = 17
decoded word = 153.0, channel = 18
decoded word = 29.0, channel = 19
decoded word = 117.0, channel = 21
decoded word = 1.0, channel = 23
decoded word = 76.0, channel = 24
decoded word = 212.0, channel = 27
decoded word = 172.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 5
decoded word = 216.0, channel = 0
decoded word = 140.0, channel = 1
decoded word = 21.0, channel = 3
decoded word = 43.0, channel = 4
decoded word = 101.0, channel = 8
decoded word = 108.0, channel = 10
decoded word = 154.0, channel = 11
decoded word = 44.0, channel = 12
decoded word = 195.0, channel = 13
decoded word = 117.0, channel = 17
decoded word = 165.0, channel = 18
decoded word = 51.0, channel = 19
decoded word = 136.0, channel = 21
decoded word = 22.0, channel = 23
decoded word = 81.0, channel = 24
decoded word = 224.0, channel = 27
decoded word = 165.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 6
decoded word = 232.0, channel = 0
decoded word = 206.0, channel = 1
decoded word = 47.0, channel = 3
decoded word = 56.0, channel = 4
decoded word = 141.0, channel = 8
decoded word = 81.0, channel = 10
decoded word = 132.0, channel = 11
decoded word = 247.0, channel = 13
decoded word = 167.0, channel = 17
decoded word = 135.0, channel = 18
decoded word = 39.0, channel = 19
decoded word = 125.0, channel = 21
decoded word = 56.0, channel = 23
decoded word = 73.0, channel = 24
decoded word = 243.0, channel = 27
decoded word = 168.0, channel = 29
decoded word = 255.0, channel = 30
-----
-> col = 7
decoded word = 147.0, channel = 0
decoded word = 38.0, channel = 3
decoded word = 65.0, channel = 4
decoded word = 175.0, channel = 10
decoded word = 255.0, channel = 11
decoded word = 113.0, channel = 12
decoded word = 48.0, channel = 13
decoded word = 58.0, channel = 14
decoded word = 173.0, channel = 18
decoded word = 152.0, channel = 19
decoded word = 255.0, channel = 20
decoded word = 223.0, channel = 21
decoded word = 25.0, channel = 22
decoded word = 255.0, channel = 23
decoded word = 25.0, channel = 26
decoded word = 234.0, channel = 27
decoded word = 82.0, channel = 29
decoded word = 255.0, channel = 30
-----
